Uniprot ID,Description,Gene name,Log2(average_P/S)
P62070,Ras-related protein R-Ras2 OS=Homo sapiens OX=9606 GN=RRAS2 PE=1 SV=1,RRAS2,0.018324224
Q9BYD1,"39S ribosomal protein L13, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL13 PE=1 SV=1",MRPL13,0.012744191
Q9P2P6,StAR-related lipid transfer protein 9 OS=Homo sapiens OX=9606 GN=STARD9 PE=1 SV=3,STARD9,0.010314879
Q9NPG3,Ubinuclein-1 OS=Homo sapiens OX=9606 GN=UBN1 PE=1 SV=2,UBN1,0.009245585
Q96F86,Enhancer of mRNA-decapping protein 3 OS=Homo sapiens OX=9606 GN=EDC3 PE=1 SV=1,EDC3,0.00610711
Q14671,Pumilio homolog 1 OS=Homo sapiens OX=9606 GN=PUM1 PE=1 SV=3,PUM1,0.00249735
Q9NQC8,Intraflagellar transport protein 46 homolog OS=Homo sapiens OX=9606 GN=IFT46 PE=1 SV=1,IFT46,-0.001070366
Q93074,Mediator of RNA polymerase II transcription subunit 12 OS=Homo sapiens OX=9606 GN=MED12 PE=1 SV=4,MED12,-0.00186921
Q6VEQ5,WAS protein family homolog 2 OS=Homo sapiens OX=9606 GN=WASH2P PE=2 SV=2,,-0.006048659
P46459,Vesicle-fusing ATPase OS=Homo sapiens OX=9606 GN=NSF PE=1 SV=3,NSF,-0.006434625
Q9BVC3,Sister chromatid cohesion protein DCC1 OS=Homo sapiens OX=9606 GN=DSCC1 PE=1 SV=2,DSCC1,-0.013985126
Q96T58,Msx2-interacting protein OS=Homo sapiens OX=9606 GN=SPEN PE=1 SV=1,SPEN,-0.015268938
Q5TZA2,Rootletin OS=Homo sapiens OX=9606 GN=CROCC PE=1 SV=1,CROCC,-0.01759133
Q8NB78,Lysine-specific histone demethylase 1B OS=Homo sapiens OX=9606 GN=KDM1B PE=1 SV=3,KDM1B,-0.017927993
Q8IVL6,Prolyl 3-hydroxylase 3 OS=Homo sapiens OX=9606 GN=P3H3 PE=1 SV=1,LEPREL2; P3H3,-0.020768379
Q6KB66,"Keratin, type II cytoskeletal 80 OS=Homo sapiens OX=9606 GN=KRT80 PE=1 SV=2",KRT80,-0.0219875
P78406,mRNA export factor OS=Homo sapiens OX=9606 GN=RAE1 PE=1 SV=1,RAE1,-0.024268313
O15230,Laminin subunit alpha-5 OS=Homo sapiens OX=9606 GN=LAMA5 PE=1 SV=8,LAMA5,-0.028068078
Q8TDR0,TRAF3-interacting protein 1 OS=Homo sapiens OX=9606 GN=TRAF3IP1 PE=1 SV=1,TRAF3IP1,-0.028589175
P09234,U1 small nuclear ribonucleoprotein C OS=Homo sapiens OX=9606 GN=SNRPC PE=1 SV=1,SNRPC,-0.028855185
Q9UKY1,Zinc fingers and homeoboxes protein 1 OS=Homo sapiens OX=9606 GN=ZHX1 PE=1 SV=1,ZHX1,-0.032742494
P32780,General transcription factor IIH subunit 1 OS=Homo sapiens OX=9606 GN=GTF2H1 PE=1 SV=1,GTF2H1,-0.035890417
Q6ZSR9,Uncharacterized protein FLJ45252 OS=Homo sapiens OX=9606 PE=2 SV=2,,-0.036458182
O95785,Protein Wiz OS=Homo sapiens OX=9606 GN=WIZ PE=1 SV=2,WIZ,-0.03770476
P35556,Fibrillin-2 OS=Homo sapiens OX=9606 GN=FBN2 PE=1 SV=3,FBN2,-0.041451685
Q07954,Prolow-density lipoprotein receptor-related protein 1 OS=Homo sapiens OX=9606 GN=LRP1 PE=1 SV=2,LRP1,-0.043263888
Q15652,Probable JmjC domain-containing histone demethylation protein 2C OS=Homo sapiens OX=9606 GN=JMJD1C PE=1 SV=2,JMJD1C,-0.043798957
O00541,Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1,PES1,-0.044882685
Q9NS91,E3 ubiquitin-protein ligase RAD18 OS=Homo sapiens OX=9606 GN=RAD18 PE=1 SV=2,RAD18,-0.047762326
O94804,Serine/threonine-protein kinase 10 OS=Homo sapiens OX=9606 GN=STK10 PE=1 SV=1,STK10,-0.05250614
Q14011,Cold-inducible RNA-binding protein OS=Homo sapiens OX=9606 GN=CIRBP PE=1 SV=1,CIRBP,-0.054593787
Q92830,Histone acetyltransferase KAT2A OS=Homo sapiens OX=9606 GN=KAT2A PE=1 SV=3,KAT2A,-0.055312965
Q5T5P2,Sickle tail protein homolog OS=Homo sapiens OX=9606 GN=KIAA1217 PE=1 SV=2,KIAA1217,-0.056121841
Q86XZ4,Spermatogenesis-associated serine-rich protein 2 OS=Homo sapiens OX=9606 GN=SPATS2 PE=1 SV=1,SPATS2,-0.056402923
P35251,Replication factor C subunit 1 OS=Homo sapiens OX=9606 GN=RFC1 PE=1 SV=4,RFC1,-0.06288053
Q32P28,Prolyl 3-hydroxylase 1 OS=Homo sapiens OX=9606 GN=P3H1 PE=1 SV=2,LEPRE1; P3H1,-0.0665322
Q9NWS0,PIH1 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PIH1D1 PE=1 SV=1,PIH1D1,-0.067656015
Q16637,Survival motor neuron protein OS=Homo sapiens OX=9606 GN=SMN1 PE=1 SV=1,SMN1; SMN2,-0.069460014
Q02539,Histone H1.1 OS=Homo sapiens OX=9606 GN=H1-1 PE=1 SV=3,HIST1H1A,-0.073799204
Q8IY67,Ribonucleoprotein PTB-binding 1 OS=Homo sapiens OX=9606 GN=RAVER1 PE=1 SV=1,RAVER1,-0.074592653
P43355,Melanoma-associated antigen 1 OS=Homo sapiens OX=9606 GN=MAGEA1 PE=1 SV=1,MAGEA1,-0.07548137
Q7L0Y3,tRNA methyltransferase 10 homolog C OS=Homo sapiens OX=9606 GN=TRMT10C PE=1 SV=2,TRMT10C,-0.075743637
P43007,Neutral amino acid transporter A OS=Homo sapiens OX=9606 GN=SLC1A4 PE=1 SV=1,SLC1A4,-0.078439278
Q8IYW5,E3 ubiquitin-protein ligase RNF168 OS=Homo sapiens OX=9606 GN=RNF168 PE=1 SV=1,RNF168,-0.079237936
O60884,DnaJ homolog subfamily A member 2 OS=Homo sapiens OX=9606 GN=DNAJA2 PE=1 SV=1,DNAJA2,-0.081175809
P46013,Proliferation marker protein Ki-67 OS=Homo sapiens OX=9606 GN=MKI67 PE=1 SV=2,Ki67_R12_pm9x2,-0.084259811
Q13185,Chromobox protein homolog 3 OS=Homo sapiens OX=9606 GN=CBX3 PE=1 SV=4,CBX3; C15orf57; CCDC32,-0.0858032
Q9Y282,Endoplasmic reticulum-Golgi intermediate compartment protein 3 OS=Homo sapiens OX=9606 GN=ERGIC3 PE=1 SV=1,ERGIC3,-0.089320546
Q8IXS6,Paralemmin-2 OS=Homo sapiens OX=9606 GN=PALM2 PE=1 SV=3,PALM2,-0.092828778
Q02086,Transcription factor Sp2 OS=Homo sapiens OX=9606 GN=SP2 PE=1 SV=3,SP2,-0.094647642
Q71RC2,La-related protein 4 OS=Homo sapiens OX=9606 GN=LARP4 PE=1 SV=3,LARP4,-0.098689715
Q3B7J2,Glucose-fructose oxidoreductase domain-containing protein 2 OS=Homo sapiens OX=9606 GN=GFOD2 PE=2 SV=1,GFOD2,-0.101367873
P46060,Ran GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=RANGAP1 PE=1 SV=1,RANGAP1,-0.104011288
Q8IWS0,PHD finger protein 6 OS=Homo sapiens OX=9606 GN=PHF6 PE=1 SV=1,PHF6,-0.104329018
A1A4S6,Rho GTPase-activating protein 10 OS=Homo sapiens OX=9606 GN=ARHGAP10 PE=1 SV=1,ARHGAP10,-0.108831065
P05556,Integrin beta-1 OS=Homo sapiens OX=9606 GN=ITGB1 PE=1 SV=2,ITGB1,-0.111498988
Q9P032,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4 OS=Homo sapiens OX=9606 GN=NDUFAF4 PE=1 SV=1,NDUFAF4,-0.113343046
P04216,Thy-1 membrane glycoprotein OS=Homo sapiens OX=9606 GN=THY1 PE=1 SV=2,THY1,-0.116206932
P36873,Serine/threonine-protein phosphatase PP1-gamma catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CC PE=1 SV=1,PPP1CC,-0.116928668
Q96GA3,Protein LTV1 homolog OS=Homo sapiens OX=9606 GN=LTV1 PE=1 SV=1,LTV1,-0.118630666
Q9HD67,Unconventional myosin-X OS=Homo sapiens OX=9606 GN=MYO10 PE=1 SV=3,MYO10,-0.121081082
Q8NDA8,Maestro heat-like repeat-containing protein family member 1 OS=Homo sapiens OX=9606 GN=MROH1 PE=2 SV=3,HEATR7A; MROH1,-0.126389072
P62318,Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens OX=9606 GN=SNRPD3 PE=1 SV=1,SNRPD3,-0.13038164
P52272,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3,HNRNPM,-0.130827788
Q9P2B4,CTTNBP2 N-terminal-like protein OS=Homo sapiens OX=9606 GN=CTTNBP2NL PE=1 SV=2,CTTNBP2NL,-0.134924403
Q9Y3Y2,Chromatin target of PRMT1 protein OS=Homo sapiens OX=9606 GN=CHTOP PE=1 SV=2,CHTOP,-0.139311883
P54920,Alpha-soluble NSF attachment protein OS=Homo sapiens OX=9606 GN=NAPA PE=1 SV=3,NAPA,-0.142755028
Q86UP2,Kinectin OS=Homo sapiens OX=9606 GN=KTN1 PE=1 SV=1,KTN1,-0.142818108
P35226,Polycomb complex protein BMI-1 OS=Homo sapiens OX=9606 GN=BMI1 PE=1 SV=2,BMI1; COMMD3-BMI1,-0.144828934
Q9H3C7,Gametogenetin-binding protein 2 OS=Homo sapiens OX=9606 GN=GGNBP2 PE=1 SV=1,GGNBP2,-0.145275776
P26006,Integrin alpha-3 OS=Homo sapiens OX=9606 GN=ITGA3 PE=1 SV=5,ITGA3,-0.148127857
P49750,YLP motif-containing protein 1 OS=Homo sapiens OX=9606 GN=YLPM1 PE=1 SV=4,,-0.148331393
Q9ULK4,Mediator of RNA polymerase II transcription subunit 23 OS=Homo sapiens OX=9606 GN=MED23 PE=1 SV=2,MED23,-0.14918924
O75940,Survival of motor neuron-related-splicing factor 30 OS=Homo sapiens OX=9606 GN=SMNDC1 PE=1 SV=1,SMNDC1,-0.153016426
P09543,"2',3'-cyclic-nucleotide 3'-phosphodiesterase OS=Homo sapiens OX=9606 GN=CNP PE=1 SV=2",CNP,-0.15762732
Q9Y4J8,Dystrobrevin alpha OS=Homo sapiens OX=9606 GN=DTNA PE=1 SV=2,DTNA,-0.159218993
Q9H0W8,Protein SMG9 OS=Homo sapiens OX=9606 GN=SMG9 PE=1 SV=1,SMG9,-0.171974013
O94763,Unconventional prefoldin RPB5 interactor 1 OS=Homo sapiens OX=9606 GN=URI1 PE=1 SV=3,URI1,-0.174844696
Q99567,Nuclear pore complex protein Nup88 OS=Homo sapiens OX=9606 GN=NUP88 PE=1 SV=2,NUP88,-0.175525321
P62316,Small nuclear ribonucleoprotein Sm D2 OS=Homo sapiens OX=9606 GN=SNRPD2 PE=1 SV=1,SNRPD2,-0.189382667
Q9NRX2,"39S ribosomal protein L17, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL17 PE=1 SV=1",MRPL17,-0.191781136
Q86SE9,Polycomb group RING finger protein 5 OS=Homo sapiens OX=9606 GN=PCGF5 PE=1 SV=1,PCGF5,-0.194340679
P61978,Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1,HNRNPK,-0.194694894
Q9UL54,Serine/threonine-protein kinase TAO2 OS=Homo sapiens OX=9606 GN=TAOK2 PE=1 SV=2,TAOK2,-0.195033952
O14686,Histone-lysine N-methyltransferase 2D OS=Homo sapiens OX=9606 GN=KMT2D PE=1 SV=2,KMT2D; MLL2,-0.19513171
Q13895,Bystin OS=Homo sapiens OX=9606 GN=BYSL PE=1 SV=3,BYSL,-0.195147116
Q13415,Origin recognition complex subunit 1 OS=Homo sapiens OX=9606 GN=ORC1 PE=1 SV=2,ORC1,-0.196269952
Q9Y2A7,Nck-associated protein 1 OS=Homo sapiens OX=9606 GN=NCKAP1 PE=1 SV=1,NCKAP1,-0.197268085
Q66K74,Microtubule-associated protein 1S OS=Homo sapiens OX=9606 GN=MAP1S PE=1 SV=2,MAP1S,-0.197881342
Q63HM1,Kynurenine formamidase OS=Homo sapiens OX=9606 GN=AFMID PE=1 SV=2,AFMID,-0.200167337
Q9NXR1,Nuclear distribution protein nudE homolog 1 OS=Homo sapiens OX=9606 GN=NDE1 PE=1 SV=3,NDE1,-0.20305284
P62987,Ubiquitin-60S ribosomal protein L40 OS=Homo sapiens OX=9606 GN=UBA52 PE=1 SV=2,UBA52,-0.204473592
P35611,Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=2,ADD1,-0.206690385
Q58FF6,Putative heat shock protein HSP 90-beta 4 OS=Homo sapiens OX=9606 GN=HSP90AB4P PE=5 SV=1,HSP90AB4P,-0.208712977
Q99470,Stromal cell-derived factor 2 OS=Homo sapiens OX=9606 GN=SDF2 PE=1 SV=2,SDF2,-0.216316238
Q8WXA9,Splicing regulatory glutamine/lysine-rich protein 1 OS=Homo sapiens OX=9606 GN=SREK1 PE=1 SV=1,SREK1,-0.216527722
O75223,Gamma-glutamylcyclotransferase OS=Homo sapiens OX=9606 GN=GGCT PE=1 SV=1,GGCT,-0.219552207
P62750,60S ribosomal protein L23a OS=Homo sapiens OX=9606 GN=RPL23A PE=1 SV=1,RPL23A,-0.221440787
Q15007,Pre-mRNA-splicing regulator WTAP OS=Homo sapiens OX=9606 GN=WTAP PE=1 SV=2,WTAP,-0.223435376
Q8TDH9,Biogenesis of lysosome-related organelles complex 1 subunit 5 OS=Homo sapiens OX=9606 GN=BLOC1S5 PE=1 SV=1,BLOC1S5,-0.22644842
Q14980,Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=2,NUMA1,-0.2287986
Q14527,Helicase-like transcription factor OS=Homo sapiens OX=9606 GN=HLTF PE=1 SV=2,HLTF,-0.229652796
Q9UBK9,Protein UXT OS=Homo sapiens OX=9606 GN=UXT PE=1 SV=1,UXT,-0.231127345
P49458,Signal recognition particle 9 kDa protein OS=Homo sapiens OX=9606 GN=SRP9 PE=1 SV=2,SRP9; SRP9P1,-0.23273896
Q9BUI4,DNA-directed RNA polymerase III subunit RPC3 OS=Homo sapiens OX=9606 GN=POLR3C PE=1 SV=1,POLR3C; LOC101060460,-0.239894905
Q9Y3D6,Mitochondrial fission 1 protein OS=Homo sapiens OX=9606 GN=FIS1 PE=1 SV=2,FIS1,-0.243266277
P30419,Glycylpeptide N-tetradecanoyltransferase 1 OS=Homo sapiens OX=9606 GN=NMT1 PE=1 SV=2,NMT1,-0.24792377
P67775,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform OS=Homo sapiens OX=9606 GN=PPP2CA PE=1 SV=1,PPP2CA,-0.248120345
Q9UI95,Mitotic spindle assembly checkpoint protein MAD2B OS=Homo sapiens OX=9606 GN=MAD2L2 PE=1 SV=2,MAD2L2,-0.251317871
Q96F63,Coiled-coil domain-containing protein 97 OS=Homo sapiens OX=9606 GN=CCDC97 PE=1 SV=1,CCDC97,-0.251335671
Q9P2K3,REST corepressor 3 OS=Homo sapiens OX=9606 GN=RCOR3 PE=1 SV=2,RCOR3,-0.251671247
Q7Z589,BRCA2-interacting transcriptional repressor EMSY OS=Homo sapiens OX=9606 GN=EMSY PE=1 SV=2,C11orf30; EMSY,-0.257386483
Q07157,Tight junction protein ZO-1 OS=Homo sapiens OX=9606 GN=TJP1 PE=1 SV=3,TJP1,-0.261399911
Q96EK7,Constitutive coactivator of peroxisome proliferator-activated receptor gamma OS=Homo sapiens OX=9606 GN=FAM120B PE=1 SV=1,FAM120B,-0.263786426
Q96FF9,Sororin OS=Homo sapiens OX=9606 GN=CDCA5 PE=1 SV=1,CDCA5,-0.268793813
P23396,40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2,RPS3,-0.269113685
Q14108,Lysosome membrane protein 2 OS=Homo sapiens OX=9606 GN=SCARB2 PE=1 SV=2,SCARB2,-0.282395771
Q5T3F8,CSC1-like protein 2 OS=Homo sapiens OX=9606 GN=TMEM63B PE=1 SV=1,TMEM63B,-0.287603312
P49916,DNA ligase 3 OS=Homo sapiens OX=9606 GN=LIG3 PE=1 SV=2,LIG3,-0.288149028
P31944,Caspase-14 OS=Homo sapiens OX=9606 GN=CASP14 PE=1 SV=2,CASP14,-0.2905418
Q7KZF4,Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SND1 PE=1 SV=1,SND1,-0.293524656
Q9NVF7,F-box only protein 28 OS=Homo sapiens OX=9606 GN=FBXO28 PE=1 SV=1,FBXO28,-0.293680246
Q12830,Nucleosome-remodeling factor subunit BPTF OS=Homo sapiens OX=9606 GN=BPTF PE=1 SV=3,BPTF,-0.300637632
P78395,Melanoma antigen preferentially expressed in tumors OS=Homo sapiens OX=9606 GN=PRAME PE=1 SV=1,PRAME,-0.301568462
P78364,Polyhomeotic-like protein 1 OS=Homo sapiens OX=9606 GN=PHC1 PE=1 SV=3,PHC1,-0.302228588
Q9NZI8,Insulin-like growth factor 2 mRNA-binding protein 1 OS=Homo sapiens OX=9606 GN=IGF2BP1 PE=1 SV=2,IGF2BP1,-0.303041267
P08195,4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=3,SLC3A2,-0.304188726
Q6IEG0,U11/U12 small nuclear ribonucleoprotein 48 kDa protein OS=Homo sapiens OX=9606 GN=SNRNP48 PE=1 SV=2,SNRNP48,-0.307700159
Q8IV48,3'-5' exoribonuclease 1 OS=Homo sapiens OX=9606 GN=ERI1 PE=1 SV=3,ERI1,-0.307728322
P19022,Cadherin-2 OS=Homo sapiens OX=9606 GN=CDH2 PE=1 SV=4,CDH2,-0.311409714
Q5VSL9,Striatin-interacting protein 1 OS=Homo sapiens OX=9606 GN=STRIP1 PE=1 SV=1,STRIP1,-0.312334893
A1L020,RNA-binding protein MEX3A OS=Homo sapiens OX=9606 GN=MEX3A PE=1 SV=1,MEX3A,-0.313509231
Q5U5Q3,RNA-binding E3 ubiquitin-protein ligase MEX3C OS=Homo sapiens OX=9606 GN=MEX3C PE=1 SV=3,MEX3C,-0.313872612
Q9Y3C6,Peptidyl-prolyl cis-trans isomerase-like 1 OS=Homo sapiens OX=9606 GN=PPIL1 PE=1 SV=1,PPIL1,-0.314278752
Q96C57,Protein CUSTOS OS=Homo sapiens OX=9606 GN=CUSTOS PE=1 SV=2,C12orf43,-0.314838676
P09493,Tropomyosin alpha-1 chain OS=Homo sapiens OX=9606 GN=TPM1 PE=1 SV=2,TPM1,-0.315507914
Q13616,Cullin-1 OS=Homo sapiens OX=9606 GN=CUL1 PE=1 SV=2,CUL1,-0.320806686
P23258,Tubulin gamma-1 chain OS=Homo sapiens OX=9606 GN=TUBG1 PE=1 SV=2,TUBG1,-0.321896736
P28062,Proteasome subunit beta type-8 OS=Homo sapiens OX=9606 GN=PSMB8 PE=1 SV=3,PSMB8,-0.322607267
Q7Z7H8,"39S ribosomal protein L10, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL10 PE=1 SV=3",MRPL10,-0.326252338
P37108,Signal recognition particle 14 kDa protein OS=Homo sapiens OX=9606 GN=SRP14 PE=1 SV=2,SRP14,-0.332287925
P25054,Adenomatous polyposis coli protein OS=Homo sapiens OX=9606 GN=APC PE=1 SV=2,APC,-0.33309471
Q9NRX1,RNA-binding protein PNO1 OS=Homo sapiens OX=9606 GN=PNO1 PE=1 SV=1,PNO1,-0.334718631
Q147X3,N-alpha-acetyltransferase 30 OS=Homo sapiens OX=9606 GN=NAA30 PE=1 SV=1,NAA30,-0.33594531
Q16666,Gamma-interferon-inducible protein 16 OS=Homo sapiens OX=9606 GN=IFI16 PE=1 SV=3,IFI16,-0.338781813
Q8NE71,ATP-binding cassette sub-family F member 1 OS=Homo sapiens OX=9606 GN=ABCF1 PE=1 SV=2,ABCF1,-0.338960583
P55084,"Trifunctional enzyme subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=HADHB PE=1 SV=3",HADHB,-0.339040759
P05026,Sodium/potassium-transporting ATPase subunit beta-1 OS=Homo sapiens OX=9606 GN=ATP1B1 PE=1 SV=1,ATP1B1,-0.339547648
Q13322,Growth factor receptor-bound protein 10 OS=Homo sapiens OX=9606 GN=GRB10 PE=1 SV=2,GRB10,-0.342623814
Q8NB16,Mixed lineage kinase domain-like protein OS=Homo sapiens OX=9606 GN=MLKL PE=1 SV=1,MLKL,-0.348086508
Q9Y2W2,WW domain-binding protein 11 OS=Homo sapiens OX=9606 GN=WBP11 PE=1 SV=1,WBP11,-0.348738778
Q9H1K0,Rabenosyn-5 OS=Homo sapiens OX=9606 GN=RBSN PE=1 SV=2,ZFYVE20; RBSN,-0.349249594
Q96Q45,Transmembrane protein 237 OS=Homo sapiens OX=9606 GN=TMEM237 PE=1 SV=2,TMEM237,-0.35231729
Q9H0E3,Histone deacetylase complex subunit SAP130 OS=Homo sapiens OX=9606 GN=SAP130 PE=1 SV=1,SAP130,-0.3530128
P10412,Histone H1.4 OS=Homo sapiens OX=9606 GN=H1-4 PE=1 SV=2,HIST1H1E,-0.353656
Q15417,Calponin-3 OS=Homo sapiens OX=9606 GN=CNN3 PE=1 SV=1,CNN3,-0.35578759
P0DI83,"Ras-related protein Rab-34, isoform NARR OS=Homo sapiens OX=9606 GN=RAB34 PE=1 SV=1",NARR; RAB34,-0.356057033
Q8IYI6,Exocyst complex component 8 OS=Homo sapiens OX=9606 GN=EXOC8 PE=1 SV=2,EXOC8,-0.356665841
P58004,Sestrin-2 OS=Homo sapiens OX=9606 GN=SESN2 PE=1 SV=1,SESN2,-0.357873199
O60216,Double-strand-break repair protein rad21 homolog OS=Homo sapiens OX=9606 GN=RAD21 PE=1 SV=2,RAD21,-0.359315063
Q8WYA6,Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1,CTNNBL1,-0.361372937
Q8IWT6,Volume-regulated anion channel subunit LRRC8A OS=Homo sapiens OX=9606 GN=LRRC8A PE=1 SV=1,LRRC8A,-0.363359069
Q15003,Condensin complex subunit 2 OS=Homo sapiens OX=9606 GN=NCAPH PE=1 SV=3,NCAPH,-0.365518551
P67870,Casein kinase II subunit beta OS=Homo sapiens OX=9606 GN=CSNK2B PE=1 SV=1,CSNK2B,-0.365965094
Q9NQT4,Exosome complex component RRP46 OS=Homo sapiens OX=9606 GN=EXOSC5 PE=1 SV=1,EXOSC5,-0.36687378
P50750,Cyclin-dependent kinase 9 OS=Homo sapiens OX=9606 GN=CDK9 PE=1 SV=3,CDK9,-0.368023212
Q9UFC0,Leucine-rich repeat and WD repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=LRWD1 PE=1 SV=2,LRWD1,-0.371220004
Q9NWM3,CUE domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CUEDC1 PE=1 SV=1,CUEDC1,-0.371413492
Q9HCD5,Nuclear receptor coactivator 5 OS=Homo sapiens OX=9606 GN=NCOA5 PE=1 SV=2,NCOA5,-0.376518685
Q6UWH4,Golgi-associated kinase 1B OS=Homo sapiens OX=9606 GN=GASK1B PE=2 SV=1,FAM198B,-0.376682604
Q92560,Ubiquitin carboxyl-terminal hydrolase BAP1 OS=Homo sapiens OX=9606 GN=BAP1 PE=1 SV=2,BAP1,-0.379373464
Q69YN2,CWF19-like protein 1 OS=Homo sapiens OX=9606 GN=CWF19L1 PE=1 SV=2,CWF19L1,-0.382074123
Q12849,G-rich sequence factor 1 OS=Homo sapiens OX=9606 GN=GRSF1 PE=1 SV=3,GRSF1,-0.38331562
Q96LB3,Intraflagellar transport protein 74 homolog OS=Homo sapiens OX=9606 GN=IFT74 PE=1 SV=1,IFT74,-0.384092225
O43709,Probable 18S rRNA (guanine-N(7))-methyltransferase OS=Homo sapiens OX=9606 GN=BUD23 PE=1 SV=2,WBSCR22; BUD23,-0.387116646
Q9H000,Probable E3 ubiquitin-protein ligase makorin-2 OS=Homo sapiens OX=9606 GN=MKRN2 PE=1 SV=2,MKRN2,-0.398456272
O95104,SR-related and CTD-associated factor 4 OS=Homo sapiens OX=9606 GN=SCAF4 PE=1 SV=3,SCAF4,-0.40178629
Q14767,Latent-transforming growth factor beta-binding protein 2 OS=Homo sapiens OX=9606 GN=LTBP2 PE=1 SV=3,LTBP2,-0.407499872
Q96FJ2,"Dynein light chain 2, cytoplasmic OS=Homo sapiens OX=9606 GN=DYNLL2 PE=1 SV=1",DYNLL2,-0.408674345
O00468,Agrin OS=Homo sapiens OX=9606 GN=AGRN PE=1 SV=6,,-0.41413984
Q9Y5X1,Sorting nexin-9 OS=Homo sapiens OX=9606 GN=SNX9 PE=1 SV=1,SNX9,-0.418121999
Q08J23,RNA cytosine C(5)-methyltransferase NSUN2 OS=Homo sapiens OX=9606 GN=NSUN2 PE=1 SV=2,NSUN2,-0.420246651
P16403,Histone H1.2 OS=Homo sapiens OX=9606 GN=H1-2 PE=1 SV=2,HIST1H1C,-0.423008585
P07951,Tropomyosin beta chain OS=Homo sapiens OX=9606 GN=TPM2 PE=1 SV=1,TPM2,-0.425766972
Q13901,Nuclear nucleic acid-binding protein C1D OS=Homo sapiens OX=9606 GN=C1D PE=1 SV=1,C1D,-0.43283836
O00391,Sulfhydryl oxidase 1 OS=Homo sapiens OX=9606 GN=QSOX1 PE=1 SV=3,QSOX1,-0.433233635
P05067,Amyloid-beta precursor protein OS=Homo sapiens OX=9606 GN=APP PE=1 SV=3,APP,-0.439829802
O95235,Kinesin-like protein KIF20A OS=Homo sapiens OX=9606 GN=KIF20A PE=1 SV=1,KIF20A,-0.443373149
Q92609,TBC1 domain family member 5 OS=Homo sapiens OX=9606 GN=TBC1D5 PE=1 SV=1,TBC1D5,-0.444076587
P13674,Prolyl 4-hydroxylase subunit alpha-1 OS=Homo sapiens OX=9606 GN=P4HA1 PE=1 SV=2,P4HA1,-0.447733711
P20585,DNA mismatch repair protein Msh3 OS=Homo sapiens OX=9606 GN=MSH3 PE=1 SV=4,MSH3,-0.450653637
Q9H6T3,RNA polymerase II-associated protein 3 OS=Homo sapiens OX=9606 GN=RPAP3 PE=1 SV=2,RPAP3,-0.458762437
Q96P63,Serpin B12 OS=Homo sapiens OX=9606 GN=SERPINB12 PE=1 SV=1,SERPINB12,-0.458843763
P22735,Protein-glutamine gamma-glutamyltransferase K OS=Homo sapiens OX=9606 GN=TGM1 PE=1 SV=4,TGM1,-0.465187431
P13646,"Keratin, type I cytoskeletal 13 OS=Homo sapiens OX=9606 GN=KRT13 PE=1 SV=4",KRT13,-0.466043403
Q13625,Apoptosis-stimulating of p53 protein 2 OS=Homo sapiens OX=9606 GN=TP53BP2 PE=1 SV=2,TP53BP2,-0.4694477
Q9NYB0,Telomeric repeat-binding factor 2-interacting protein 1 OS=Homo sapiens OX=9606 GN=TERF2IP PE=1 SV=1,TERF2IP,-0.474865753
Q04695,"Keratin, type I cytoskeletal 17 OS=Homo sapiens OX=9606 GN=KRT17 PE=1 SV=2",KRT17,-0.478319606
Q7L8L6,"FAST kinase domain-containing protein 5, mitochondrial OS=Homo sapiens OX=9606 GN=FASTKD5 PE=1 SV=1",FASTKD5,-0.481520577
P18887,DNA repair protein XRCC1 OS=Homo sapiens OX=9606 GN=XRCC1 PE=1 SV=2,XRCC1,-0.482053877
O75607,Nucleoplasmin-3 OS=Homo sapiens OX=9606 GN=NPM3 PE=1 SV=3,NPM3,-0.486769233
